0	20547.07	1.415
100	20635.58	0.332
200	20712.10	0.603
300	20799.46	0.334
400	20845.53	3.232
500	20994.82	1.413
600	21082.21	1.366
700	21084.00	0.606
800	21129.37	1.413
900	21216.77	3.251
1000	21300.50	0.332
1100	21449.80	0.606
1200	21537.20	0.364
1300	21596.26	0.335
1400	21629.57	0.332
1500	21789.75	0.335
1600	21834.72	3.265
1700	21985.33	0.604
1800	21956.68	0.335
1900	21990.11	1.580
2000	22073.24	0.335
2100	22117.44	0.332
2200	22267.98	0.335
2300	22312.20	0.332
2400	22388.76	0.624
2500	22433.78	0.332
2600	22477.90	0.367
2700	22512.53	0
2800	22611.64	0.332
2900	22699.90	0.332
3000	22849.34	0.638
3100	22822.05	1.416
3200	22898.64	1.416
3300	22973.01	0.332
3400	23128.78	0.497
3500	23139.09	0.332
3600	23368.41	0.494
3700	23335.49	3.393
3800	23491.27	0.332
3900	23509.42	0.333
4000	23665.10	0.335
4100	23748.15	0.335
4200	23831.21	2.315
4300	23943.78	1.575
4400	24034.13	1.413
4500	24189.93	0.333
4600	24274.56	0.333
4700	24352.74	0.497
4800	24508.52	0.534
4900	24549.82	0.336
5000	24566.63	3.231
5100	24722.42	0.333
5200	24873.36	0.357
5300	25030.02	0.497
5400	25069.87	1.578
5500	25159.54	3.273
5600	25244.14	0.333
5700	25211.14	0.336
5800	25366.95	0.498
5900	25406.82	0.494
6000	25446.68	0.494
6100	25490.43	0.336
6200	25530.30	0.333
6300	25570.16	0.333
6400	25610.03	0.494
6500	25650.65	0.498
6600	25690.52	0.494
6700	25738.48	0.333
6800	25778.36	0.333
6900	25818.10	0.333
7000	25857.99	0.495
7100	25897.87	0.495
7200	25944.09	0.336
7300	25983.98	0.333
7400	26023.87	0.333
7500	26063.62	0.498
7600	26098.64	0.495
7700	26138.53	0.495
7800	26184.75	0.333
7900	26226.35	0.333
8000	26266.25	0.333
8100	26306.00	0.495
8200	26345.90	0.517
8300	26386.55	0.498
8400	26432.94	0.333
8500	26472.84	0.333
8600	26512.60	0.337
8700	26552.50	0.495
8800	26592.41	0.495
8900	26638.65	0.333
9000	26680.36	0.333
9100	26715.76	0.333
9200	26757.50	0.495
9300	26797.26	0.499
9400	26837.18	0.495
9500	26883.58	0.333
9600	26923.34	0.333
9700	26963.27	0.333
9800	27003.03	0.499
9900	27042.96	0.495
10000	27082.72	0.499
