0	20547.07	1.415
20	20596.94	0.632
40	20603.67	0.629
60	20622.21	0.334
80	20628.85	0.334
100	20635.58	0.332
120	20642.22	1.413
140	20648.85	1.415
160	20698.73	0.334
180	20705.46	0.603
200	20712.10	0.603
220	20729.58	0.334
240	20736.22	0.334
260	20742.95	1.413
280	20749.58	1.415
300	20799.46	0.334
320	20806.19	0.351
340	20812.83	0.351
360	20820.22	0.633
380	20826.86	0.332
400	20845.53	3.232
420	20968.17	0.332
440	20974.81	0.334
460	20981.45	0.334
480	20988.18	0.332
500	20994.82	1.413
520	21001.46	1.687
540	21051.34	0.606
560	21068.93	0.332
580	21075.57	1.413
600	21082.21	1.366
620	21132.09	1.413
640	21136.84	0.606
660	21027.49	1.413
680	21077.36	0.606
700	21084.00	0.606
720	21101.59	0.332
740	21108.23	0.332
760	21114.87	0.363
780	21121.51	1.443
800	21129.37	1.413
820	21179.25	0.332
840	21185.89	0.603
860	21192.53	0.606
880	21210.03	3.234
900	21216.77	3.251
920	21339.40	0.495
940	21346.80	0.493
960	21280.69	0.495
980	21287.42	0.493
1000	21300.50	0.332
1020	21307.14	3.234
1040	21313.78	3.234
1060	21436.52	0.332
1080	21443.16	0.604
1100	21449.80	0.606
1120	21467.30	0.335
1140	21474.04	1.413
1160	21480.68	1.413
1180	21530.56	0.364
1200	21537.20	0.364
1220	21545.10	0.332
1240	21551.75	0.947
1260	21558.39	0.947
1280	21589.62	0.335
1300	21596.26	0.335
1320	21603.00	0.332
1340	21609.64	0.332
1360	21616.29	0.332
1380	21622.93	3.234
1400	21629.57	0.332
1420	21752.31	0.604
1440	21769.82	0.332
1460	21776.46	0.332
1480	21783.11	0.335
1500	21789.75	0.335
1520	21796.49	0.332
1540	21803.14	0.332
1560	21809.78	0.623
1580	21816.42	0.332
1600	21834.72	3.265
1620	21958.65	0.332
1640	21965.30	0.332
1660	21971.94	0.335
1680	21978.59	0.335
1700	21985.33	0.604
1720	21991.98	0.332
1740	21925.86	0.604
1760	21943.39	0.332
1780	21950.03	0.335
1800	21956.68	0.335
1820	21963.42	0.332
1840	21970.07	0.332
1860	21976.71	0.335
1880	21983.36	1.416
1900	21990.11	1.580
1920	22039.99	0.499
1940	22053.31	0.332
1960	22059.95	0.332
1980	22066.60	0.332
2000	22073.24	0.335
